sqft,bedrooms,bathrooms,age,neighborhood,sale_price
1954,4,2.3,40,Downtown,671593
1755,2,1.6,54,Suburbs,379681
648,1,1.0,17,Rural,92949
1784,2,1.1,57,Rural,211269
1836,3,2.0,3,Rural,279104
3277,5,3.9,32,Suburbs,711888
1684,3,1.9,69,Rural,192724
1980,3,2.2,8,Downtown,688184
1779,3,1.9,63,Suburbs,352712
1098,2,1.6,63,Downtown,320702
2485,5,3.7,9,Downtown,904267
2251,4,3.4,73,Rural,309136
2274,4,2.7,60,Rural,266114
1254,2,1.6,52,Rural,160367
2641,4,2.8,46,Downtown,843760
958,2,1.8,68,Suburbs,228104
2152,4,2.6,47,Rural,305807
3114,6,4.0,61,Rural,416715
1205,2,1.3,31,Downtown,427094
1460,3,2.1,45,Suburbs,333157
1859,3,2.1,43,Downtown,590537
1497,3,2.2,5,Rural,267383
869,1,1.0,69,Downtown,223382
1841,4,2.9,48,Rural,263778
1162,1,1.2,51,Suburbs,255346
2084,4,3.1,41,Downtown,713848
1248,2,1.7,35,Rural,190342
2729,4,2.7,28,Rural,367205
1330,2,1.1,51,Rural,195494
1606,2,1.7,10,Rural,213199
2288,3,2.4,57,Downtown,684609
1061,1,1.1,31,Rural,128465
1936,3,1.9,18,Downtown,675917
2584,5,3.4,47,Rural,341414
835,2,1.0,4,Downtown,354559
1910,4,2.7,52,Downtown,611909
1955,4,3.1,41,Rural,278321
2269,4,2.7,64,Rural,320649
1057,1,1.0,40,Rural,140454
1007,1,1.0,33,Rural,142921
2113,3,2.2,47,Suburbs,462359
1978,3,1.8,51,Rural,250412
1950,3,2.1,67,Rural,250783
2007,4,1.9,22,Rural,282126
1391,3,2.0,3,Downtown,551724
1939,4,2.3,71,Rural,222959
1975,4,3.2,70,Downtown,644815
1371,2,1.6,26,Downtown,487155
2919,4,2.9,45,Downtown,924408
2084,3,2.6,3,Downtown,761159
1085,2,1.1,12,Suburbs,286530
2193,3,2.6,28,Rural,304727
1215,3,2.4,49,Downtown,469630
2272,3,2.0,18,Rural,297923
2495,4,3.1,38,Downtown,811200
1307,3,1.8,68,Suburbs,272698
2378,3,1.9,35,Downtown,758795
2047,3,1.9,36,Rural,223832
2293,4,2.6,13,Rural,344291
2938,4,2.5,22,Suburbs,645592
1652,3,2.5,71,Rural,211117
1347,2,1.3,50,Rural,192807
1266,2,1.5,68,Downtown,366319
1310,2,1.2,47,Rural,174142
1753,2,1.0,6,Downtown,596468
2004,3,2.2,8,Suburbs,472814
1966,3,1.5,55,Rural,219981
2296,3,2.1,64,Downtown,725708
1807,3,1.7,8,Rural,245211
2672,5,4.0,68,Downtown,892132
1641,3,2.4,52,Suburbs,329189
3432,5,3.5,14,Downtown,1178938
2175,3,2.5,4,Rural,322137
1285,3,1.8,41,Downtown,461807
1157,1,1.0,56,Rural,126103
2089,3,2.2,17,Suburbs,488990
1665,3,2.2,66,Downtown,572921
2228,3,2.5,27,Rural,255912
2083,3,2.3,34,Rural,285400
1756,3,2.2,27,Rural,221877
1291,2,1.0,30,Downtown,436693
891,1,1.0,50,Downtown,271717
1532,3,2.1,50,Downtown,508309
2313,3,2.1,56,Suburbs,473558
1928,4,2.5,36,Rural,240464
1052,1,1.4,48,Rural,150098
1903,3,2.6,1,Suburbs,438257
2031,4,3.0,12,Suburbs,516142
1269,3,2.1,7,Downtown,515387
1892,3,2.0,56,Downtown,574494
1834,4,2.5,47,Downtown,637493
1114,2,1.4,42,Downtown,349851
2014,3,2.2,65,Downtown,620673
2136,3,1.7,45,Downtown,643911
2449,4,2.9,53,Suburbs,538875
2432,5,3.5,72,Suburbs,511649
973,2,1.0,27,Suburbs,230371
1237,3,1.8,73,Rural,158520
2109,4,2.7,21,Rural,278099
2108,3,2.7,69,Downtown,649809
2109,4,3.0,35,Suburbs,462394
4111,6,3.8,73,Rural,503203
2142,4,2.9,2,Rural,346985
2481,4,2.3,73,Suburbs,557377
2372,3,2.4,1,Rural,323857
2190,3,2.0,20,Rural,302533
1610,3,2.1,3,Suburbs,376253
2255,3,2.5,15,Rural,331950
1336,2,1.0,69,Suburbs,270181
1657,3,1.7,56,Rural,195909
1508,2,1.2,48,Suburbs,336951
1849,4,3.1,74,Rural,231036
3188,6,3.7,42,Rural,407322
679,1,1.0,35,Suburbs,174264
2211,3,2.0,43,Rural,252331
832,2,1.6,6,Suburbs,270024
1516,2,1.8,58,Suburbs,291890
2453,5,3.4,67,Rural,292660
1838,4,2.7,18,Downtown,671192
1153,2,1.7,33,Rural,176460
1370,2,1.0,66,Downtown,383787
2207,4,2.7,40,Downtown,721165
1361,2,1.5,4,Rural,187497
1929,3,2.2,22,Downtown,670636
1827,3,1.9,21,Suburbs,401798
1409,2,1.4,50,Suburbs,273139
3086,6,3.5,8,Downtown,1139187
2180,3,1.9,13,Suburbs,478749
584,1,1.0,20,Rural,90007
1911,4,2.5,29,Suburbs,448861
1402,2,1.4,51,Downtown,432527
2311,4,2.9,29,Rural,323305
1324,3,2.0,53,Suburbs,322203
1731,2,1.5,64,Rural,191083
2102,4,2.5,27,Downtown,712881
2319,4,2.7,67,Suburbs,512893
1079,2,1.6,36,Rural,148855
1599,3,2.1,40,Rural,249085
1515,2,1.2,26,Suburbs,293463
1408,3,2.2,29,Rural,207335
2859,5,3.7,37,Rural,416333
2042,4,2.2,67,Downtown,638384
1043,2,1.7,21,Downtown,402025
2350,3,2.0,38,Downtown,754267
3073,6,4.0,35,Downtown,1049703
2419,4,3.2,41,Downtown,808932
888,2,1.0,58,Downtown,277130
1509,2,1.2,42,Suburbs,306617
2560,4,2.7,28,Downtown,885195
1375,2,1.2,23,Rural,194429
2066,3,2.6,66,Suburbs,433307
2264,3,1.8,42,Rural,293716
1243,3,1.9,15,Downtown,490805
1764,3,2.2,54,Downtown,557854
400,1,1.0,17,Rural,67642
1185,1,1.0,6,Rural,166760
1648,3,2.2,65,Rural,182709
1051,1,1.0,69,Suburbs,180666
2779,4,2.8,62,Downtown,852093
941,2,1.2,10,Rural,192345
1535,3,1.6,55,Downtown,440362
1878,3,2.2,18,Rural,254899
2664,4,3.3,29,Downtown,936927
938,2,1.4,67,Suburbs,197352
2497,5,3.6,65,Downtown,842069
1806,4,3.0,2,Rural,280589
1211,3,1.7,8,Downtown,480769
2077,3,2.6,64,Suburbs,387645
1919,4,2.9,63,Suburbs,430070
1439,3,2.6,65,Downtown,465143
1841,4,2.6,50,Rural,230094
1568,2,1.9,26,Suburbs,350353
1868,3,2.3,26,Suburbs,468908
2197,3,2.3,64,Downtown,720046
2751,4,2.9,13,Suburbs,632104
1057,2,1.3,39,Suburbs,236416
3079,5,3.9,36,Rural,379567
628,2,1.4,22,Rural,121558
1708,3,1.5,19,Rural,268929
2152,4,2.5,74,Downtown,665343
1968,4,2.7,19,Suburbs,433495
1426,2,1.5,71,Downtown,428976
1675,2,1.4,45,Suburbs,367880
1504,2,1.8,63,Suburbs,273393
1446,3,1.5,40,Suburbs,333800
2309,4,2.8,23,Rural,322670
2014,4,2.3,44,Downtown,678506
1384,3,2.3,7,Downtown,541404
2339,4,2.8,23,Suburbs,563216
1984,3,2.2,68,Downtown,598775
2287,4,2.5,53,Rural,258604
2177,3,2.5,19,Downtown,708220
1302,3,2.4,17,Suburbs,372889
1463,3,2.3,11,Rural,234453
2248,3,2.1,63,Rural,266824
2166,3,2.3,68,Suburbs,429197
1787,3,1.9,20,Downtown,618846
1870,4,3.1,13,Suburbs,456514
2566,5,4.0,2,Downtown,954833
1445,3,2.4,20,Downtown,511158
2128,3,1.9,39,Rural,252011
1678,3,2.2,51,Suburbs,364532
1669,2,1.0,31,Rural,219825
2459,5,3.7,58,Suburbs,553593
2295,3,2.2,73,Suburbs,468851
2288,3,1.5,62,Rural,290445
2583,5,3.2,44,Suburbs,604095
1812,3,2.0,47,Suburbs,404422
2209,4,2.7,15,Downtown,791481
1613,2,1.0,48,Suburbs,307272
1994,4,2.9,60,Suburbs,457241
1721,2,1.5,42,Rural,244489
1858,4,2.7,55,Rural,252324
2157,4,2.6,33,Suburbs,534459
1309,2,1.7,63,Downtown,373525
3055,5,4.0,2,Downtown,1067964
1196,1,1.0,52,Rural,154357
1071,1,1.0,3,Suburbs,274704
2494,5,3.6,61,Suburbs,581642
2274,3,2.0,50,Downtown,707764
2174,4,2.8,44,Downtown,717937
2177,3,2.3,21,Downtown,735917
1792,3,1.5,70,Rural,177200
1261,3,2.5,62,Suburbs,268474
1845,4,2.8,47,Rural,270010
1393,3,2.0,32,Suburbs,356680
2385,3,2.1,28,Rural,309474
1711,2,1.4,4,Suburbs,366865
1304,3,1.6,37,Downtown,459089
1607,2,1.8,8,Downtown,554090
2047,3,2.1,13,Downtown,738265
1461,3,2.2,36,Rural,192554
1306,2,1.7,38,Downtown,424445
1946,3,1.8,67,Suburbs,392456
1946,3,2.2,23,Rural,249320
1495,3,2.0,42,Suburbs,375270
1517,2,1.7,33,Rural,183522
1939,4,2.2,48,Suburbs,405921
931,1,1.0,67,Suburbs,128981
955,1,1.0,52,Rural,112189
1368,2,1.5,11,Rural,184443
1671,3,2.2,55,Downtown,518946
1986,4,2.6,59,Downtown,678982
2685,4,2.6,58,Suburbs,572852
2314,4,2.8,56,Suburbs,500335
1704,2,1.1,67,Suburbs,350008
1788,3,2.4,37,Rural,252087
1198,2,1.3,37,Rural,142533
1788,2,1.0,22,Downtown,559696
1626,2,1.3,44,Suburbs,355463
1993,3,1.8,31,Downtown,669655
1303,2,1.0,15,Rural,184541
2111,4,2.4,58,Rural,249128
2719,5,3.5,2,Rural,397122
1734,3,2.5,36,Downtown,589398
2041,3,2.2,33,Rural,262979
2214,3,1.9,27,Suburbs,514809
1559,3,2.2,63,Downtown,491222
1934,3,2.0,57,Rural,204682
1807,4,2.6,69,Downtown,570331
1858,4,2.5,32,Downtown,685162
1336,3,1.6,40,Rural,187618
1814,4,2.7,21,Rural,261100
2098,4,2.8,13,Downtown,758374
2670,4,2.8,6,Downtown,939496
2375,3,2.0,59,Rural,262602
3091,5,3.2,67,Suburbs,651325
1339,3,2.3,44,Downtown,467668
2323,4,2.4,65,Downtown,709502
1910,4,3.0,19,Suburbs,463531
3113,6,3.9,5,Rural,428075
1315,2,1.2,55,Rural,156823
1296,2,1.0,70,Suburbs,251242
1440,3,1.9,52,Rural,114499
525,1,1.0,66,Rural,43711
1484,3,2.3,17,Downtown,558465
1344,2,1.7,16,Downtown,523761
1890,3,2.3,21,Downtown,643741
2005,3,1.8,29,Suburbs,448675
2925,5,3.4,53,Rural,400814
2370,4,2.6,11,Rural,299406
1453,2,1.8,67,Downtown,445566
1260,3,1.7,55,Downtown,410712
2095,3,2.4,24,Suburbs,467503
1007,2,1.7,36,Rural,128445
2898,4,3.3,38,Suburbs,617447
2507,5,3.4,25,Rural,401541
1518,2,1.6,41,Suburbs,345967
772,1,1.4,42,Downtown,292137
2612,4,2.6,44,Suburbs,572624
1731,2,1.0,21,Suburbs,345976
2542,4,2.2,31,Downtown,845331
843,1,1.0,41,Rural,130192
1440,3,1.5,4,Rural,198920
1803,4,2.7,13,Downtown,707997
1828,4,2.9,52,Suburbs,436711
1529,2,1.5,29,Suburbs,379993
2173,3,2.2,19,Suburbs,485009
1159,2,1.5,68,Rural,114559
1714,2,1.8,14,Suburbs,390343
1872,3,1.8,72,Rural,246457
2108,3,1.9,37,Suburbs,419559
2226,3,1.9,41,Downtown,666861
1125,1,1.0,31,Downtown,372058
879,2,1.7,45,Rural,116645
2566,5,3.6,58,Rural,333395
1999,4,3.2,16,Downtown,767186
1350,3,1.7,65,Downtown,422085
2730,5,4.0,57,Suburbs,570700
1869,3,2.6,30,Downtown,693504
2507,4,3.0,16,Rural,320534
1840,3,2.6,13,Downtown,652962
3036,5,3.0,16,Rural,424633
2853,5,3.3,26,Rural,372770
1650,3,1.9,12,Suburbs,403660
2382,4,3.0,43,Suburbs,540867
2187,3,1.8,65,Suburbs,457748
2621,5,3.7,64,Suburbs,569055
1221,2,1.8,5,Downtown,513342
2211,4,3.0,13,Suburbs,492887
2435,5,3.6,28,Downtown,889065
744,1,1.0,41,Suburbs,152457
1090,1,1.0,58,Suburbs,237393
576,1,1.1,21,Rural,98836
1638,3,2.3,35,Downtown,562202
2230,3,2.1,56,Rural,281165
2701,5,3.4,8,Suburbs,665989
1844,4,2.2,22,Downtown,683421
2777,4,2.5,11,Suburbs,606693
971,2,2.0,28,Rural,139651
777,1,1.0,69,Downtown,214578
1766,3,2.2,59,Rural,219056
2030,3,2.4,3,Suburbs,505271
1780,3,1.7,57,Suburbs,332308
559,1,1.0,23,Suburbs,164225
1746,3,2.4,27,Downtown,614474
1017,1,1.0,32,Rural,115607
2201,4,3.7,36,Rural,288643
2019,4,2.3,26,Suburbs,470542
1236,3,2.4,63,Rural,93444
1491,3,2.0,65,Downtown,463952
1164,2,1.6,4,Suburbs,292141
1762,3,2.2,20,Suburbs,431311
2373,4,2.6,74,Suburbs,470846
1208,3,2.2,26,Downtown,471873
2102,4,2.2,39,Suburbs,503407
1481,2,1.6,54,Suburbs,327768
1324,2,1.5,38,Suburbs,314949
1735,3,2.3,51,Suburbs,372488
1178,1,1.0,20,Rural,167614
1467,3,2.2,50,Suburbs,330521
1081,2,1.4,68,Downtown,324010
2978,4,2.5,4,Suburbs,678551
1821,4,2.6,4,Suburbs,458781
1380,3,2.5,51,Rural,218981
1928,3,2.5,64,Suburbs,401576
1732,2,1.3,2,Rural,248846
1667,3,2.1,63,Downtown,559078
2168,3,1.8,40,Rural,289735
2254,3,2.5,12,Suburbs,492625
1481,3,2.3,7,Downtown,591551
1454,2,2.0,18,Suburbs,368378
1634,2,1.1,62,Rural,202406
418,1,1.0,52,Downtown,127733
890,1,1.0,36,Downtown,287420
2620,4,3.0,63,Rural,340538
2786,5,3.4,41,Rural,349578
1650,3,1.8,4,Downtown,612367
2145,4,3.1,44,Downtown,767466
1986,3,2.3,13,Rural,272904
3647,6,3.9,62,Suburbs,760019
2471,5,3.9,44,Downtown,846633
1723,2,1.8,73,Rural,200219
1226,3,2.1,60,Suburbs,253378
836,2,1.4,18,Downtown,344503
1922,4,3.0,41,Downtown,686617
1346,3,1.8,7,Rural,233566
946,1,1.0,46,Suburbs,212027
1412,3,1.5,9,Downtown,525175
1151,2,1.7,59,Suburbs,269994
2812,4,2.3,36,Suburbs,595307
2328,4,3.3,38,Downtown,774670
1795,2,1.3,54,Suburbs,353566
2687,4,2.7,31,Downtown,917612
1846,3,1.9,56,Suburbs,392142
1283,3,2.0,4,Downtown,528133
2713,4,3.2,67,Rural,362347
2123,3,1.4,9,Downtown,693776
1177,1,1.1,34,Downtown,355815
1685,3,2.2,5,Downtown,604326
1274,3,1.7,14,Suburbs,341078
970,2,1.1,49,Rural,129082
2355,4,3.3,4,Suburbs,607187
2945,5,3.2,5,Suburbs,695312
960,2,1.1,46,Downtown,317941
2137,4,3.1,9,Suburbs,529149
1409,2,1.5,56,Downtown,439203
1507,2,1.1,7,Rural,174793
1444,2,1.5,17,Suburbs,395980
1281,2,1.1,5,Suburbs,330296
1829,4,3.1,18,Suburbs,469345
1301,2,1.7,38,Downtown,457096
1962,3,2.3,14,Downtown,710301
1769,2,1.5,45,Suburbs,363644
1656,2,1.9,4,Suburbs,388069
1255,3,2.1,2,Rural,216838
1453,3,1.7,50,Rural,196588
2253,4,2.9,10,Rural,301405
2100,3,2.7,69,Rural,280751
1213,3,1.8,57,Rural,166728
1859,3,2.0,65,Downtown,588601
2250,4,2.9,64,Rural,309287
798,2,1.4,10,Rural,137820
2126,4,2.5,10,Suburbs,521465
1402,3,2.4,23,Downtown,553503
2142,4,3.5,8,Rural,299482
1342,2,1.5,44,Rural,172088
717,2,1.1,58,Rural,96573
823,1,1.0,20,Suburbs,187763
1828,3,2.2,39,Suburbs,456912
1955,3,2.4,49,Suburbs,396709
1257,2,1.5,22,Rural,151085
2183,3,2.1,58,Suburbs,475033
803,2,1.2,50,Rural,123428
1760,3,1.8,73,Downtown,508502
1073,2,1.7,70,Rural,140694
1408,3,2.4,71,Suburbs,333965
1828,3,1.6,39,Downtown,598927
1283,3,2.6,69,Rural,220392
1569,3,2.3,54,Downtown,490657
2403,4,3.2,49,Downtown,811271
1453,2,1.0,20,Downtown,519789
2301,4,2.4,36,Rural,317780
1122,2,1.4,42,Suburbs,251291
2117,3,2.3,61,Rural,249441
2664,5,4.0,19,Suburbs,648922
400,1,1.0,54,Rural,71405
1321,3,2.0,29,Rural,204633
2146,4,2.5,59,Rural,290759
1678,2,1.8,59,Suburbs,319564
2022,3,1.8,46,Rural,245757
1437,2,1.9,67,Downtown,417345
1851,4,2.7,72,Rural,225821
1706,3,2.6,56,Downtown,585965
2500,5,3.7,9,Suburbs,619616
1952,4,2.8,1,Suburbs,552758
2002,4,2.6,53,Rural,264283
1552,2,1.3,29,Rural,201475
1507,3,2.2,62,Rural,193698
1540,3,2.1,42,Downtown,519985
2036,3,1.9,70,Suburbs,404824
1547,3,2.1,48,Downtown,546849
1973,3,2.1,51,Downtown,632748
3045,5,2.9,8,Rural,391852
2322,3,2.2,12,Rural,289069
1604,2,1.1,27,Downtown,517470
2520,4,2.5,12,Downtown,873767
1555,3,1.6,63,Rural,213324
577,1,1.0,47,Rural,50913
1195,1,1.0,31,Downtown,382127
677,2,1.2,32,Rural,111274
1589,3,2.7,58,Rural,171098
1811,3,1.9,35,Downtown,593262
2805,5,3.6,26,Downtown,960472
1996,4,2.9,18,Suburbs,474691
1668,2,1.4,11,Downtown,582516
2297,3,2.1,18,Rural,296779
473,1,1.0,1,Downtown,240320
1941,3,2.5,1,Downtown,726846
2262,3,2.6,5,Downtown,832428
912,2,1.0,32,Suburbs,255940
2486,4,2.5,52,Suburbs,491472
2003,3,2.0,48,Rural,260635
1550,2,1.1,17,Suburbs,349503
2179,3,2.3,38,Downtown,714916
3162,5,3.3,69,Suburbs,649034
1909,4,3.4,10,Downtown,742732
1948,4,3.2,69,Suburbs,432682
1524,2,1.5,25,Suburbs,334963
1290,3,2.4,53,Suburbs,286528
2298,3,2.4,50,Downtown,715956
1286,2,1.2,3,Suburbs,329490
1842,3,1.9,24,Downtown,649047
1513,2,1.4,27,Downtown,527895
2087,3,2.4,5,Rural,280561
2000,4,2.8,10,Suburbs,504311
2422,5,3.0,15,Rural,360161
1493,2,1.2,29,Rural,216566
1638,3,2.1,39,Downtown,562170
1212,2,1.4,17,Suburbs,295218
1533,3,2.7,37,Downtown,559476
2026,3,1.7,64,Downtown,588151
2254,4,3.0,63,Suburbs,482137
1246,2,1.8,33,Downtown,456650
2321,3,2.8,36,Suburbs,523385
2613,5,3.4,4,Suburbs,631963
2048,4,2.9,64,Downtown,675158
2926,4,3.0,39,Downtown,928923
1335,3,2.2,23,Rural,214151
1053,1,1.0,44,Downtown,327690
732,2,1.5,42,Suburbs,183902
2697,5,2.7,62,Rural,327194
2192,3,2.3,57,Suburbs,453877
1766,3,2.1,34,Rural,226497
1967,4,2.7,17,Downtown,738035
1124,1,1.3,19,Downtown,390852
3267,6,4.0,51,Downtown,1116054
1877,3,2.0,2,Suburbs,486914
1865,3,2.7,44,Rural,227321
2235,3,1.9,20,Suburbs,498964
2088,3,1.9,65,Rural,232405
1934,3,2.1,15,Downtown,675177
1325,3,2.4,73,Suburbs,327903
2082,3,2.2,60,Downtown,640080
2929,4,2.4,72,Suburbs,589607
2607,5,3.3,32,Downtown,914699
2755,5,3.3,44,Suburbs,594756
1493,3,2.1,5,Suburbs,372027
1206,2,1.5,8,Rural,157042
1724,2,1.5,19,Downtown,564592
1833,3,1.6,12,Rural,194613
2456,5,3.8,60,Rural,333727
784,1,1.0,65,Downtown,264293
2717,5,3.9,37,Suburbs,629861
1705,2,1.5,28,Rural,190181
1543,3,2.4,18,Downtown,569914
1192,1,1.0,25,Suburbs,256258
807,1,1.1,4,Rural,110357
2293,3,2.3,60,Rural,290984
1843,4,2.8,57,Rural,259965
1026,2,2.1,73,Suburbs,192799
1022,1,1.0,32,Rural,147451
1598,2,1.6,49,Suburbs,364420
2801,4,2.4,4,Rural,410034
1644,3,1.7,37,Downtown,614882
898,1,1.0,33,Rural,101573
1652,2,1.4,70,Downtown,530101
1636,2,1.2,64,Downtown,467167
400,1,1.0,10,Downtown,205050
1767,3,2.6,41,Suburbs,411333
1661,3,2.3,74,Downtown,503354
2217,3,1.8,73,Rural,260134
2909,4,2.8,55,Suburbs,579129
2475,5,3.3,14,Downtown,895605
1638,3,2.0,54,Suburbs,382479
1136,1,1.0,7,Suburbs,274957
3344,6,4.0,63,Suburbs,725270
1835,4,2.4,53,Rural,250866
1808,3,2.1,55,Downtown,603844
1785,3,1.9,74,Suburbs,324616
1918,4,1.9,45,Suburbs,440070
1713,2,2.0,51,Suburbs,353425
1455,2,1.7,61,Downtown,449087
1471,3,2.0,39,Suburbs,366046
1780,2,1.4,6,Suburbs,387056
1473,3,1.7,51,Rural,169987
1372,2,1.9,15,Downtown,469309
1863,4,3.4,20,Rural,265698
1647,2,1.4,51,Downtown,531269
2702,5,3.8,51,Downtown,907303
400,1,1.0,21,Downtown,171287
2454,5,3.1,49,Rural,312924
2547,4,2.7,9,Rural,316294
555,1,1.0,37,Rural,59721
1594,3,2.0,10,Rural,240656
1577,3,2.0,24,Suburbs,356784
955,1,1.0,40,Suburbs,229308
1333,2,1.4,32,Suburbs,302093
1133,1,1.0,46,Downtown,348535
2851,4,2.5,38,Suburbs,603849
2361,3,1.9,17,Downtown,799814
2562,4,2.4,21,Rural,352135
2233,4,3.1,36,Downtown,779054
1122,1,1.0,33,Downtown,377456
1485,3,2.4,47,Suburbs,341018
2093,3,2.5,46,Rural,275706
1066,1,1.0,32,Rural,130634
2227,4,2.0,72,Suburbs,453201
1655,3,2.0,65,Rural,197046
1575,2,1.4,16,Rural,203089
2226,4,2.5,61,Rural,263000
2066,4,2.6,28,Suburbs,495414
1583,3,2.6,33,Rural,248984
2495,5,3.7,43,Downtown,890143
1151,1,1.0,43,Downtown,331444
2169,4,2.3,33,Rural,313299
2155,3,2.0,43,Suburbs,452936
1614,2,1.3,49,Suburbs,343238
1995,3,2.2,74,Suburbs,381563
1049,1,1.0,19,Rural,147111
2354,4,3.0,73,Rural,293302
1689,3,2.7,45,Downtown,552902
1486,2,1.6,4,Suburbs,377833
2429,4,2.8,23,Downtown,864663
1377,2,1.3,66,Downtown,402446
954,1,1.0,53,Suburbs,219340
866,2,1.8,41,Rural,124042
2163,3,1.9,26,Rural,295957
1031,2,1.4,74,Downtown,260373
2852,4,2.8,2,Downtown,1032556
550,1,1.0,22,Downtown,265659
2817,4,2.4,35,Downtown,902122
1926,3,2.2,30,Suburbs,398388
1741,3,2.1,7,Downtown,650945
1473,3,2.3,66,Downtown,450627
2039,4,2.6,53,Rural,273059
1777,2,1.8,57,Rural,217934
2461,4,2.5,32,Rural,301133
1868,4,3.3,36,Suburbs,477504
1890,4,2.3,2,Suburbs,495722
1581,2,1.5,69,Rural,198237
1765,2,1.5,27,Rural,225504
1984,4,2.6,68,Downtown,611011
773,1,1.0,6,Downtown,340885
991,1,1.1,59,Suburbs,187982
2245,4,2.1,74,Suburbs,428041
1902,3,2.3,38,Downtown,666518
1689,3,1.4,38,Rural,259613
1811,3,1.8,11,Downtown,647451
2008,4,3.3,13,Suburbs,548849
1476,2,1.2,3,Suburbs,359655
1333,3,1.7,14,Downtown,508068
1917,4,2.7,42,Downtown,656340
1212,3,2.7,9,Downtown,552638
2044,4,2.3,45,Suburbs,441918
778,1,1.0,55,Rural,107543
2417,4,3.2,15,Downtown,847932
2083,4,3.4,1,Suburbs,524993
1953,3,2.1,51,Suburbs,437394
